#HIP (Name), V (mag)
104858,4.549
104887,3.784
104987,4.002
105140,4.729
105199,2.492
105319,4.403
105382,4.814
105502,4.211
105515,4.392
105858,4.284
106039,4.606
106481,4.089
106551,4.993
106786,4.708
106985,3.718
107089,3.848
107119,4.663
107310,4.392
107354,4.2
107380,4.332
108085,2.994
108431,4.445
108870,4.833
108917,4.277
109111,4.624
109139,4.274
109176,3.822
109268,1.757
109285,4.503
109410,4.338
109422,4.988
109427,3.54
109857,4.215
110003,4.278
110130,3.017
110395,3.844
110538,4.543
110882,4.915
110960,4.151
111169,3.78
111188,4.291
111497,4.026
111674,4.678
112029,3.402
112122,2.299
112158,3.036
112203,4.954
112405,4.162
112447,4.265
112623,3.499
112724,3.621
112748,3.61
112948,3.977
113136,3.277
113246,4.327
113368,1.248
113638,4.227
113881,2.659
113919,4.762
113963,2.487
114119,4.579
114131,4.374
114222,4.505
114341,3.821
114421,3.995
114570,4.57
114724,4.411
114855,4.362
114996,4.042
115088,4.961
115102,4.535
115115,4.999
115250,4.609
115438,4.083
115623,4.495
115738,4.932
115830,4.393
115919,4.647
116231,4.361
116584,3.975
116602,4.745
116727,3.334
116771,4.19
116805,4.131
116928,4.521
116971,4.48
117452,4.578
118209,4.987
118268,4.076
