id,ra,dec,mjd,cmag,cerr,filter
169.42996,185.431148422089,-31.9953228890655,56808.1257943064,21.6257,0.0195938,g
169.42996,185.431145714757,-31.9953208144889,56808.1292215819,22.5349,0.0851554,u
169.42996,185.431147519643,-31.9953205566714,56808.1333921165,22.6584,0.102069,u
169.42996,185.431149309153,-31.9953184834822,56808.1375844628,22.5809,0.0926514,u
169.42996,185.431159342012,-31.995322723846,57099.2267618319,21.2219,0.0413307,r
169.42996,185.431139194871,-31.9953191354306,57099.2274293057,21.2161,0.0203496,g
169.42996,185.431144244923,-31.995327221821,57099.2284507761,21.1709,0.0233767,r
169.42996,185.431141815691,-31.9953265906754,57099.229461892,21.0126,0.0293938,i
169.42996,185.431156462848,-31.995322728819,57099.2304932866,21.1675,0.0554358,z
169.42996,185.431156336006,-31.9953294069627,57099.2325473782,21.2253,0.0189396,g
169.42996,185.431154788869,-31.9953233420703,57099.2335821409,21.2219,0.0274884,r
169.42996,185.431153742001,-31.9953247978194,57099.2345988955,21.1007,0.0381908,i
169.42996,185.43114872112,-31.9953279694216,57099.2356093265,21.1275,0.0585379,z
169.42996,185.431158822622,-31.9953164992099,57099.2389590419,21.3343,0.02477,g
169.42996,185.431158611778,-31.9953283592206,57099.2399701537,21.2177,0.0290974,r
169.42996,185.43115739506,-31.9953230632192,57099.2409937275,21.0501,0.0407977,i
169.42996,185.431164792135,-31.9953244898659,57099.242015827,21.1285,0.0474689,z
169.42996,185.43114568042,-31.9953292504412,57100.2150583891,21.5908,0.0473638,r
169.42996,185.43115106471,-31.9953113844198,57100.2157355938,21.869,0.0325716,g
169.42996,185.43113687355,-31.995318148128,57100.216766201,21.5262,0.0331263,r
169.42996,185.431148537016,-31.9953150147105,57100.2177875121,21.4552,0.0452498,i
169.42996,185.431131780363,-31.9953139961118,57100.2187990043,21.3067,0.0890674,z
169.42996,185.431158911731,-31.9953157794494,57100.220865489,21.9081,0.0473668,g
169.42996,185.431141078978,-31.9953247940574,57100.2218875894,21.5269,0.034229,r
169.42996,185.431144417382,-31.9953301844028,57100.2229111618,21.3851,0.0487759,i
169.42996,185.431153472443,-31.9953201737248,57100.2239305587,21.3521,0.0664565,z
169.42996,185.431222857495,-31.9953261222903,57100.2249622662,22.5006,0.223891,u
169.42996,185.431156795961,-31.995327407094,57100.2259776494,21.8687,0.0380801,g
169.42996,185.431159649146,-31.9953297491654,57100.2270013513,21.5194,0.0355568,r
169.42996,185.431172545318,-31.9953164862244,57100.2280169744,21.4984,0.0490246,i
169.42996,185.431158297922,-31.9953243670866,57100.2290483415,21.2746,0.0769268,z
169.42996,185.431153032335,-31.9953210550402,57111.9930644636,21.6066,0.0681311,r
169.42996,185.431153144219,-31.9953203748321,57111.9951209249,21.415,0.0557272,i
